"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","399","test_login[standard_user--BlankPassword-Epic sadface: Password is required]","TestScripts","2026-05-31","passed","2026-05-31","TestLogin","test_login","",""
"","344","test_login[-secret_sauce-BlankUsername-Epic sadface: Username is required]","TestScripts","2026-05-31","passed","2026-05-31","TestLogin","test_login","",""
"","715","test_login[standard_user-secret_sauce-ValidUsernameValidPassword-Products]","TestScripts","2026-05-31","passed","2026-05-31","TestLogin","test_login","",""
"","509","test_login[test_user-secret_sauce-InvalidUsernameValidPassword-Epic sadface: Username and password do not match any user in this service]","TestScripts","2026-05-31","passed","2026-05-31","TestLogin","test_login","",""
"","502","test_login[standard_user-test-ValidUsernameInvalidPassword-Epic sadface: Username and password do not match any user in this service]","TestScripts","2026-05-31","passed","2026-05-31","TestLogin","test_login","",""
"","376","test_login[test_user-test-InvalidUsernameInvalidPassword-Epic sadface: Username and password do not match any user in this service]","TestScripts","2026-05-31","passed","2026-05-31","TestLogin","test_login","",""
